Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
1229,DisplayAgeOutput,Educational,Windows,React,Display the age ,age,x
1230,FlightBookingConfirmed,Flight Booking,Windows,React,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1231,FlightClassType,Flight Booking,Windows,React,select flight class type from dropdown,x,x
1232,FlightDisplayUI,Flight Booking,Windows,React,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1233,FromCityToCity,Bus Booking,Windows,React,From city dropdown and to city dropdown select,x,x
1234,FromCityToCity,Railway Booking,Windows,React,From city dropdown and to city dropdown select,x,x
1235,FromCityToCityDOJ,Flight Booking,Windows,React,From city dropdown and to city dropdown and date of journey select,x,x
1236,FromDateToDate,Hotel Booking,Windows,React,from date and to date input,x,x
1237,GetFlights,Flight Booking,Windows,React,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1238,GetTrains,Railway Booking,Windows,React,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1239,GSTCalculator,x,Windows,React,gst calculate on amount or fare,amount,amount
1240,HotelListUI,Hotel Booking,Windows,React,list of hotels with hotel select from list,x,x
1241,HotelRentCalculator,Hotel Booking,Windows,React,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1242,HotelSearch,Hotel Booking,Windows,React,search hotels using city name,cityName,ids:String[]
1243,LoginCaptchaScreen,x,Windows,React,"Login using username, password and captcha",x,loggedIn
1244,LoginCheck,x,Windows,React,check username and password validity,"username,password",isLoggedIn
1245,LoginErrorPage,x,Windows,React,login failed error page,x,x
1246,LoginScreen,x,Windows,React,Login using username and password,x,loggedIn
1247,LoginScreen1,x,Windows,React,"login using username ,password and register option",x,"userRegistered,loggedIn"
1248,Logout,x,Windows,React,logout button,paymentStatus,loggedIn
1249,NumberOfItems,Ecommerce,Windows,React,number of items dropdown,selectedProduct,numberOfItems
1250,PassengerDetails,Railway Booking,Windows,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1251,PassengerDetails,Bus Booking,Windows,React,"add details of passenger with input of name , age , gender  , phone number ",x,x
1252,PaymentFailed,x,Windows,React,payment failed page for the given amount,x,x
1253,PaymentPageUI,x,Windows,React,"payment page with options like credit card, debit card and cash",x,x
1254,PaymentPageUI1,x,Windows,React,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1255,ProductCategory,Ecommerce,Windows,React,product category dropdown,loggedIn,productCategorySelected
1256,ProductFareCalculator,Ecommerce,Windows,React,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1257,ProductList,Ecommerce,Windows,React,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1258,ProfilePage,Ecommerce,Windows,React,"profile page with details like name,username,email,address and phone number",x,x
1259,Register,x,Windows,React,"registration page with details like email , password and confirm password",x,userRegistered
1260,Register1,x,Windows,React,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1261,Register2,x,Windows,React,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1262,RoomSelector,Hotel Booking,Windows,React,room type and number of guests dropdown ,x,x
1263,SearchBook,Library Management,Windows,React,search box for entering book name,x,x
1264,SearchProduct,Ecommerce,Windows,React,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1265,SearchProductUI,Ecommerce,Windows,React,search box for entering product name to search,loggedIn,productSearchTerm
1266,ThankYouPage,Ecommerce,Windows,React,thank you page for the username,x,x
1267,TrainBookingConfirmed,Railway Booking,Windows,React,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1268,TrainDisplayUI,Railway Booking,Windows,React,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1269,BusBookingConfirmed,Bus Booking,Windows,React,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1270,BusDisplayUI,Bus Booking,Windows,React,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1271,VerificationEmailPage,Ecommerce,Windows,React,verification email sent page,x,x
1272,VideoList,Online Video,Windows,React,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1273,YoutubeVideoPlay,Online Video,Windows,React,youtube video player with video id ,videoId,x
1274,AddBookUI,Library Management,Linux,Jsp,"add book ui using author name, book name and year",x,x
1275,AddBookUI,Supply Chain,Linux,Jsp,"add book ui using author name, book name and year",x,x
1276,AuthorAndGenre,Library Management,Linux,Jsp,author name dropdown and genre dropdown,x,x
1277,AuthorAndGenre,Supply Chain,Linux,Jsp,author name dropdown and genre dropdown,x,x
1278,BerthAvailabilty,Railway Booking,Linux,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1279,BerthAvailabilty,Bus Booking,Linux,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1280,BerthAvailabilty,Bus Booking,Linux,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1281,BerthAvailabilty,Bus Booking,Linux,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1282,BookAddedSuccessfullyDialog,Library Management,Linux,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1283,BookAddedSuccessfullyDialog,Supply Chain,Linux,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1284,BookingConfirmation,Hotel Booking,Linux,Jsp,confirmation page display,x,x
1285,BookList,Library Management,Linux,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1286,BookList,Supply Chain,Linux,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1287,CalculateAgeScreen,Educational,Linux,Jsp,Calculate age using date picker and date of birth,loggedIn,age
1288,CityNameDropdown,Hotel Booking,Linux,Jsp,city name dropdown,isLoggedIn,cityName:String
1289,CityNameWithState,Hotel Booking,Linux,Jsp,city name dropdown with state,x,x
1290,ClassTypeAndQuota,Railway Booking,Linux,Jsp,class type dropdown and quota type dropdown,x,x
1291,ClassTypeAndQuota,Bus Booking,Linux,Jsp,class type dropdown and quota type dropdown,x,x
1292,DateOfJourney,Bus Booking,Linux,Jsp,date of journey input,x,x
1293,DateOfJourney,Railway Booking,Linux,Jsp,date of journey input,x,x
1294,DisplayAgeOutput,Educational,Linux,Jsp,Display the age ,age,x
1295,FlightBookingConfirmed,Flight Booking,Linux,Jsp,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1296,FlightClassType,Flight Booking,Linux,Jsp,select flight class type from dropdown,x,x
1297,FlightDisplayUI,Flight Booking,Linux,Jsp,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1298,FromCityToCity,Bus Booking,Linux,Jsp,From city dropdown and to city dropdown select,x,x
1299,FromCityToCity,Railway Booking,Linux,Jsp,From city dropdown and to city dropdown select,x,x
1300,FromCityToCityDOJ,Flight Booking,Linux,Jsp,From city dropdown and to city dropdown and date of journey select,x,x
1301,FromDateToDate,Hotel Booking,Linux,Jsp,from date and to date input,x,x
1302,GetFlights,Flight Booking,Linux,Jsp,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1303,GetTrains,Railway Booking,Linux,Jsp,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1304,GSTCalculator,x,Linux,Jsp,gst calculate on amount or fare,amount,amount
1305,HotelListUI,Hotel Booking,Linux,Jsp,list of hotels with hotel select from list,x,x
1306,HotelRentCalculator,Hotel Booking,Linux,Jsp,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1307,HotelSearch,Hotel Booking,Linux,Jsp,search for hotels using city and state name,x,x
1308,LoginCaptchaScreen,x,Linux,Jsp,"Login using username, password and captcha",x,loggedIn
1309,LoginCheck,x,Linux,Jsp,check username and password validity,"username,password",isLoggedIn
1310,LoginErrorPage,x,Linux,Jsp,login failed error page,x,x
1311,LoginScreen,x,Linux,Jsp,Login using username and password,x,loggedIn
1312,LoginScreen1,x,Linux,Jsp,"login using username ,password and register option",x,"userRegistered,loggedIn"
1313,Logout,x,Linux,Jsp,logout button,paymentStatus,loggedIn
1314,NumberOfItems,Ecommerce,Linux,Jsp,number of items dropdown,selectedProduct,numberOfItems
1315,PassengerDetails,Railway Booking,Linux,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1316,PassengerDetails,Bus Booking,Linux,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1317,PaymentFailed,x,Linux,Jsp,payment failed page for the given amount,x,x
1318,PaymentPageUI,x,Linux,Jsp,"payment page with options like credit card, debit card and cash",x,x
1319,PaymentPageUI1,x,Linux,Jsp,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1320,ProductCategory,Ecommerce,Linux,Jsp,product category dropdown,loggedIn,productCategorySelected
1321,ProductFareCalculator,Ecommerce,Linux,Jsp,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1322,ProductList,Ecommerce,Linux,Jsp,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1323,ProfilePage,Ecommerce,Linux,Jsp,"profile page with details like name,username,email,address and phone number",x,x
1324,Register,x,Linux,Jsp,"registration page with details like email , password and confirm password",x,userRegistered
1325,Register1,x,Linux,Jsp,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1326,Register2,x,Linux,Jsp,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1327,RoomSelector,Hotel Booking,Linux,Jsp,room type and number of guests dropdown ,x,x
1328,SearchBook,Library Management,Linux,Jsp,search box for entering book name,x,x
1329,SearchProduct,Ecommerce,Linux,Jsp,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1330,SearchProductUI,Ecommerce,Linux,Jsp,search box for entering product name to search,loggedIn,productSearchTerm
1331,ThankYouPage,Ecommerce,Linux,Jsp,thank you page for the username,x,x
1332,TrainBookingConfirmed,Railway Booking,Linux,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1333,TrainDisplayUI,Railway Booking,Linux,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1334,BusBookingConfirmed,Bus Booking,Linux,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1335,BusDisplayUI,Bus Booking,Linux,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1336,VerificationEmailPage,Ecommerce,Linux,Jsp,verification email sent page,x,x
1337,VideoList,Online Video,Linux,Jsp,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1338,YoutubeVideoPlay,Online Video,Linux,Jsp,youtube video player with video id ,videoId,x
1339,AddBookUI,Library Management,MacOS,Jsp,"add book ui using author name, book name and year",x,x
1340,AddBookUI,Supply Chain,MacOS,Jsp,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
1341,AuthorAndGenre,Library Management,MacOS,Jsp,author name dropdown and genre dropdown,x,x
1342,AuthorAndGenre,Supply Chain,MacOS,Jsp,author name dropdown and genre dropdown,x,x
1343,BerthAvailabilty,Railway Booking,MacOS,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1344,BookAddedSuccessfullyDialog,Library Management,MacOS,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1345,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1346,BookingConfirmation,Hotel Booking,MacOS,Jsp,confirmation page display,x,x
1347,BookList,Library Management,MacOS,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1348,BookList,Supply Chain,MacOS,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1349,CalculateAgeScreen,Educational,MacOS,Jsp,Calculate age using date picker and date of birth,loggedIn,age
1350,CityNameDropdown,Hotel Booking,MacOS,Jsp,city name dropdown,isLoggedIn,cityName:String
1351,CityNameWithState,Hotel Booking,MacOS,Jsp,city name dropdown with state,x,x
1352,ClassTypeAndQuota,Railway Booking,MacOS,Jsp,class type dropdown and quota type dropdown,x,x
1353,ClassTypeAndQuota,Bus Booking,MacOS,Jsp,class type dropdown and quota type dropdown,x,x
1354,DateOfJourney,Bus Booking,MacOS,Jsp,date of journey input,x,x
1355,DateOfJourney,Railway Booking,MacOS,Jsp,date of journey input,x,x
1356,DisplayAgeOutput,Educational,MacOS,Jsp,Display the age ,age,x
1357,FlightBookingConfirmed,Flight Booking,MacOS,Jsp,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1358,FlightClassType,Flight Booking,MacOS,Jsp,select flight class type from dropdown,x,x
1359,FlightDisplayUI,Flight Booking,MacOS,Jsp,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1360,FromCityToCity,Bus Booking,MacOS,Jsp,From city dropdown and to city dropdown select,x,x
1361,FromCityToCity,Railway Booking,MacOS,Jsp,From city dropdown and to city dropdown select,x,x
1362,FromCityToCityDOJ,Flight Booking,MacOS,Jsp,From city dropdown and to city dropdown and date of journey select,x,x
1363,FromDateToDate,Hotel Booking,MacOS,Jsp,from date and to date input,x,x
1364,GetFlights,Flight Booking,MacOS,Jsp,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1365,GetTrains,Railway Booking,MacOS,Jsp,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1366,GSTCalculator,x,MacOS,Jsp,gst calculate on amount or fare,amount,amount
1367,HotelListUI,Hotel Booking,MacOS,Jsp,list of hotels with hotel select from list,x,x
1368,HotelRentCalculator,Hotel Booking,MacOS,Jsp,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1369,HotelSearch,Hotel Booking,MacOS,Jsp,search for hotels using city and state name,x,x
1370,LoginCaptchaScreen,x,MacOS,Jsp,"Login using username, password and captcha",x,loggedIn
1371,LoginCheck,x,MacOS,Jsp,check username and password validity,"username,password",isLoggedIn
1372,LoginErrorPage,x,MacOS,Jsp,login failed error page,x,x
1373,LoginScreen,x,MacOS,Jsp,Login using username and password,x,loggedIn
1374,LoginScreen1,x,MacOS,Jsp,"login using username ,password and register option",x,"userRegistered,loggedIn"
1375,Logout,x,MacOS,Jsp,logout button,paymentStatus,loggedIn
1376,NumberOfItems,Ecommerce,MacOS,Jsp,number of items dropdown,selectedProduct,numberOfItems
1377,PassengerDetails,Railway Booking,MacOS,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1378,PassengerDetails,Bus Booking,MacOS,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1379,PaymentFailed,x,MacOS,Jsp,payment failed page for the given amount,x,x
1380,PaymentPageUI,x,MacOS,Jsp,"payment page with options like credit card, debit card and cash",x,x
1381,PaymentPageUI1,x,MacOS,Jsp,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1382,ProductCategory,Ecommerce,MacOS,Jsp,product category dropdown,loggedIn,productCategorySelected
1383,ProductFareCalculator,Ecommerce,MacOS,Jsp,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1384,ProductList,Ecommerce,MacOS,Jsp,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1385,ProfilePage,Ecommerce,MacOS,Jsp,"profile page with details like name,username,email,address and phone number",x,x
1386,Register,x,MacOS,Jsp,"registration page with details like email , password and confirm password",x,userRegistered
1387,Register1,x,MacOS,Jsp,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1388,Register2,x,MacOS,Jsp,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1389,RoomSelector,Hotel Booking,MacOS,Jsp,room type and number of guests dropdown ,x,x
1390,SearchBook,Library Management,MacOS,Jsp,search box for entering book name,x,x
1391,SearchProduct,Ecommerce,MacOS,Jsp,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1392,SearchProductUI,Ecommerce,MacOS,Jsp,search box for entering product name to search,loggedIn,productSearchTerm
1393,ThankYouPage,Ecommerce,MacOS,Jsp,thank you page for the username,x,x
1394,TrainBookingConfirmed,Railway Booking,MacOS,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1395,TrainDisplayUI,Railway Booking,MacOS,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1396,BusBookingConfirmed,Bus Booking,MacOS,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1397,BusDisplayUI,Bus Booking,MacOS,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1398,VerificationEmailPage,Ecommerce,MacOS,Jsp,verification email sent page,x,x
1399,VideoList,Online Video,MacOS,Jsp,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1400,YoutubeVideoPlay,Online Video,MacOS,Jsp,youtube video player with video id ,videoId,x
1401,AddBookUI,Library Management,Windows,Jsp,"add book ui using author name, book name and year",x,x
1402,AddBookUI,Supply Chain,Windows,Jsp,"add book ui using author name, book name and year",x,x
1403,AuthorAndGenre,Library Management,Windows,Jsp,author name dropdown and genre dropdown,x,x
1404,AuthorAndGenre,Supply Chain,Windows,Jsp,author name dropdown and genre dropdown,x,x
1405,BerthAvailabilty,Railway Booking,Windows,Jsp,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1406,BookAddedSuccessfullyDialog,Library Management,Windows,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1407,BookAddedSuccessfullyDialog,Supply Chain,Windows,Jsp,book added sucessfully dialog,bookAddedSuccessful,x
1408,BookingConfirmation,Hotel Booking,Windows,Jsp,confirmation page display,x,x
1409,BookList,Library Management,Windows,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1410,BookList,Supply Chain,Windows,Jsp,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1411,CalculateAgeScreen,Educational,Windows,Jsp,Calculate age using date picker and date of birth,loggedIn,age
1412,CityNameDropdown,Hotel Booking,Windows,Jsp,city name dropdown,isLoggedIn,cityName:String
1413,CityNameWithState,Hotel Booking,Windows,Jsp,city name dropdown with state,x,x
1414,ClassTypeAndQuota,Railway Booking,Windows,Jsp,class type dropdown and quota type dropdown,x,x
1415,ClassTypeAndQuota,Bus Booking,Windows,Jsp,class type dropdown and quota type dropdown,x,x
1416,DateOfJourney,Bus Booking,Windows,Jsp,date of journey input,x,x
1417,DateOfJourney,Railway Booking,Windows,Jsp,date of journey input,x,x
1418,DisplayAgeOutput,Educational,Windows,Jsp,Display the age ,age,x
1419,FlightBookingConfirmed,Flight Booking,Windows,Jsp,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1420,FlightClassType,Flight Booking,Windows,Jsp,select flight class type from dropdown,x,x
1421,FlightDisplayUI,Flight Booking,Windows,Jsp,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1422,FromCityToCity,Bus Booking,Windows,Jsp,From city dropdown and to city dropdown select,x,x
1423,FromCityToCity,Railway Booking,Windows,Jsp,From city dropdown and to city dropdown select,x,x
1424,FromCityToCityDOJ,Flight Booking,Windows,Jsp,From city dropdown and to city dropdown and date of journey select,x,x
1425,FromDateToDate,Hotel Booking,Windows,Jsp,from date and to date input,x,x
1426,GetFlights,Flight Booking,Windows,Jsp,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1427,GetTrains,Railway Booking,Windows,Jsp,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1428,GSTCalculator,x,Windows,Jsp,gst calculate on amount or fare,amount,amount
1429,HotelListUI,Hotel Booking,Windows,Jsp,list of hotels with hotel select from list,x,x
1430,HotelRentCalculator,Hotel Booking,Windows,Jsp,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1431,HotelSearch,Hotel Booking,Windows,Jsp,search hotels using city name,cityName,ids:String[]
1432,LoginCaptchaScreen,x,Windows,Jsp,"Login using username, password and captcha",x,loggedIn
1433,LoginCheck,x,Windows,Jsp,check username and password validity,"username,password",isLoggedIn
1434,LoginErrorPage,x,Windows,Jsp,login failed error page,x,x
1435,LoginScreen,x,Windows,Jsp,Login using username and password,x,loggedIn
1436,LoginScreen1,x,Windows,Jsp,"login using username ,password and register option",x,"userRegistered,loggedIn"
1437,Logout,x,Windows,Jsp,logout button,paymentStatus,loggedIn
1438,NumberOfItems,Ecommerce,Windows,Jsp,number of items dropdown,selectedProduct,numberOfItems
1439,PassengerDetails,Railway Booking,Windows,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1440,PassengerDetails,Bus Booking,Windows,Jsp,"add details of passenger with input of name , age , gender  , phone number ",x,x
1441,PaymentFailed,x,Windows,Jsp,payment failed page for the given amount,x,x
1442,PaymentPageUI,x,Windows,Jsp,"payment page with options like credit card, debit card and cash",x,x
1443,PaymentPageUI1,x,Windows,Jsp,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1444,ProductCategory,Ecommerce,Windows,Jsp,product category dropdown,loggedIn,productCategorySelected
1445,ProductFareCalculator,Ecommerce,Windows,Jsp,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1446,ProductList,Ecommerce,Windows,Jsp,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1447,ProfilePage,Ecommerce,Windows,Jsp,"profile page with details like name,username,email,address and phone number",x,x
1448,Register,x,Windows,Jsp,"registration page with details like email , password and confirm password",x,userRegistered
1449,Register1,x,Windows,Jsp,"registration page with details like name,email,username,password and confirm password",x,userRegistered
1450,Register2,x,Windows,Jsp,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
1451,RoomSelector,Hotel Booking,Windows,Jsp,room type and number of guests dropdown ,x,x
1452,SearchBook,Library Management,Windows,Jsp,search box for entering book name,x,x
1453,SearchProduct,Ecommerce,Windows,Jsp,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
1454,SearchProductUI,Ecommerce,Windows,Jsp,search box for entering product name to search,loggedIn,productSearchTerm
1455,ThankYouPage,Ecommerce,Windows,Jsp,thank you page for the username,x,x
1456,TrainBookingConfirmed,Railway Booking,Windows,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1457,TrainDisplayUI,Railway Booking,Windows,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1458,BusBookingConfirmed,Bus Booking,Windows,Jsp,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
1459,BusDisplayUI,Bus Booking,Windows,Jsp,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
1460,VerificationEmailPage,Ecommerce,Windows,Jsp,verification email sent page,x,x
1461,VideoList,Online Video,Windows,Jsp,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
1462,YoutubeVideoPlay,Online Video,Windows,Jsp,youtube video player with video id ,videoId,x
1463,AddBookUI,Library Management,Linux,Django,"add book ui using author name, book name and year",x,x
1464,AddBookUI,Supply Chain,Linux,Django,"add book ui using author name, book name and year",x,x
1465,AuthorAndGenre,Library Management,Linux,Django,author name dropdown and genre dropdown,x,x
1466,AuthorAndGenre,Supply Chain,Linux,Django,author name dropdown and genre dropdown,x,x
1467,BerthAvailabilty,Railway Booking,Linux,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1468,BerthAvailabilty,Bus Booking,Linux,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1469,BerthAvailabilty,Bus Booking,Linux,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1470,BerthAvailabilty,Bus Booking,Linux,Django,"check for available berths using the values like train number ,DOJ, from and to city",x,x
1471,BookAddedSuccessfullyDialog,Library Management,Linux,Django,book added sucessfully dialog,bookAddedSuccessful,x
1472,BookAddedSuccessfullyDialog,Supply Chain,Linux,Django,book added sucessfully dialog,bookAddedSuccessful,x
1473,BookingConfirmation,Hotel Booking,Linux,Django,confirmation page display,x,x
1474,BookList,Library Management,Linux,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1475,BookList,Supply Chain,Linux,Django,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
1476,CalculateAgeScreen,Educational,Linux,Django,Calculate age using date picker and date of birth,loggedIn,age
1477,CityNameDropdown,Hotel Booking,Linux,Django,city name dropdown,isLoggedIn,cityName:String
1478,CityNameWithState,Hotel Booking,Linux,Django,city name dropdown with state,x,x
1479,ClassTypeAndQuota,Railway Booking,Linux,Django,class type dropdown and quota type dropdown,x,x
1480,ClassTypeAndQuota,Bus Booking,Linux,Django,class type dropdown and quota type dropdown,x,x
1481,DateOfJourney,Bus Booking,Linux,Django,date of journey input,x,x
1482,DateOfJourney,Railway Booking,Linux,Django,date of journey input,x,x
1483,DisplayAgeOutput,Educational,Linux,Django,Display the age ,age,x
1484,FlightBookingConfirmed,Flight Booking,Linux,Django,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
1485,FlightClassType,Flight Booking,Linux,Django,select flight class type from dropdown,x,x
1486,FlightDisplayUI,Flight Booking,Linux,Django,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
1487,FromCityToCity,Bus Booking,Linux,Django,From city dropdown and to city dropdown select,x,x
1488,FromCityToCity,Railway Booking,Linux,Django,From city dropdown and to city dropdown select,x,x
1489,FromCityToCityDOJ,Flight Booking,Linux,Django,From city dropdown and to city dropdown and date of journey select,x,x
1490,FromDateToDate,Hotel Booking,Linux,Django,from date and to date input,x,x
1491,GetFlights,Flight Booking,Linux,Django,"get flights button to search for flights using from city name , to city name and date of journey",x,x
1492,GetTrains,Railway Booking,Linux,Django,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
1493,GSTCalculator,x,Linux,Django,gst calculate on amount or fare,amount,amount
1494,HotelListUI,Hotel Booking,Linux,Django,list of hotels with hotel select from list,x,x
1495,HotelRentCalculator,Hotel Booking,Linux,Django,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
1496,HotelSearch,Hotel Booking,Linux,Django,search for hotels using city and state name,x,x
1497,LoginCaptchaScreen,x,Linux,Django,"Login using username, password and captcha",x,loggedIn
1498,LoginCheck,x,Linux,Django,check username and password validity,"username,password",isLoggedIn
1499,LoginErrorPage,x,Linux,Django,login failed error page,x,x
1500,LoginScreen,x,Linux,Django,Login using username and password,x,loggedIn
1501,LoginScreen1,x,Linux,Django,"login using username ,password and register option",x,"userRegistered,loggedIn"
1502,Logout,x,Linux,Django,logout button,paymentStatus,loggedIn
1503,NumberOfItems,Ecommerce,Linux,Django,number of items dropdown,selectedProduct,numberOfItems
1504,PassengerDetails,Railway Booking,Linux,Django,"add details of passenger with input of name , age , gender  , phone number ",x,x
1505,PassengerDetails,Bus Booking,Linux,Django,"add details of passenger with input of name , age , gender  , phone number ",x,x
1506,PaymentFailed,x,Linux,Django,payment failed page for the given amount,x,x
1507,PaymentPageUI,x,Linux,Django,"payment page with options like credit card, debit card and cash",x,x
1508,PaymentPageUI1,x,Linux,Django,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
1509,ProductCategory,Ecommerce,Linux,Django,product category dropdown,loggedIn,productCategorySelected
1510,ProductFareCalculator,Ecommerce,Linux,Django,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
1511,ProductList,Ecommerce,Linux,Django,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
1512,ProfilePage,Ecommerce,Linux,Django,"profile page with details like name,username,email,address and phone number",x,x
1513,Register,x,Linux,Django,"registration page with details like email , password and confirm password",x,userRegistered
1514,Register1,x,Linux,Django,"registration page with details like name,email,username,password and confirm password",x,userRegistered
